temperatura,vibracao,corrente,tensao,rotacao,pressao,ruido,horas_operacao,carga_trabalho,status_maquina
92.1,8.37,37.45,188.51,2445.0,2.2,101.07,2241.69,91.76,2
46.13,2.52,12.65,213.27,2968.52,6.12,64.74,0.78,70.47,0
57.94,1.42,12.55,210.5,2825.99,7.13,76.89,1045.45,66.81,0
61.4,2.54,13.81,222.72,2986.79,7.71,73.3,332.96,49.86,0
71.82,2.96,20.66,212.99,2821.05,6.22,66.79,471.98,59.06,0
50.75,2.14,15.01,212.4,2792.73,6.55,73.63,1077.56,42.94,0
47.67,0.61,11.3,215.08,2950.65,6.93,69.23,352.19,72.61,0
73.44,1.24,20.32,212.53,2963.49,5.53,69.21,923.33,72.72,0
67.95,2.62,12.28,215.5,2776.45,7.07,62.18,1183.12,67.32,0
50.67,2.99,13.38,223.09,2778.15,7.26,69.73,115.84,48.47,0
46.91,2.92,12.23,211.27,2859.06,7.15,67.88,332.1,59.54,0
44.57,2.87,11.5,221.91,2818.94,7.69,76.99,178.56,56.19,0
44.11,0.88,18.23,216.45,2800.13,6.73,61.16,698.37,49.41,0
69.11,0.95,10.46,223.18,2828.73,5.82,68.43,717.97,41.08,0
59.06,3.39,10.91,215.49,2806.35,5.99,62.53,746.9,67.35,0
59.86,2.89,18.82,219.15,2872.04,5.83,64.7,502.92,60.98,0
48.83,2.93,21.37,212.04,2874.41,6.04,61.08,390.6,45.03,0
44.71,1.4,14.3,222.07,2819.69,6.03,77.23,10.64,74.92,0
99.37,7.73,31.12,199.13,2570.32,2.65,86.27,3240.74,93.17,2
117.09,8.61,36.6,193.87,2403.54,3.71,102.75,3756.58,88.56,2
50.48,0.73,16.01,221.92,2926.77,5.63,61.31,483.45,50.34,0
74.93,1.55,19.21,216.03,2869.97,7.07,75.73,1180.9,66.89,0
70.78,4.39,25.33,208.06,2760.2,4.57,79.13,1284.48,78.05,1
116.67,10.36,30.63,195.71,2338.49,2.86,111.62,4234.83,90.04,2
77.64,3.99,23.13,209.01,2678.92,6.34,80.96,2190.59,85.33,1
71.64,0.55,21.21,222.15,2959.3,5.73,73.3,1151.9,63.75,0
88.67,5.14,23.46,201.96,2724.06,4.91,80.18,1078.0,84.86,1
60.46,2.11,13.23,215.53,2973.84,7.17,74.17,545.21,62.06,0
53.9,0.76,17.4,211.71,2836.31,6.77,75.74,592.26,64.58,0
70.36,1.2,19.34,219.13,2992.73,6.43,72.27,76.24,53.87,0
65.32,0.53,17.07,219.2,2909.42,6.11,72.85,109.67,46.97,0
55.32,1.2,18.46,222.26,2886.61,7.92,60.93,605.75,65.15,0
65.61,0.99,14.22,213.97,2837.47,7.27,66.62,666.32,43.5,0
58.16,0.65,12.79,217.38,2827.56,5.95,69.07,387.37,49.03,0
67.6,2.49,13.12,223.61,2917.68,6.9,62.0,536.47,56.11,0
51.49,3.22,11.16,219.1,2862.87,7.85,62.21,254.43,41.03,0
49.62,0.6,15.04,223.43,2995.66,7.09,62.91,1087.02,58.07,0
50.34,0.91,17.82,221.08,2828.91,7.11,67.11,855.85,46.97,0
48.31,3.41,12.17,222.82,2873.07,6.12,75.67,534.37,58.02,0
68.21,0.74,12.3,215.79,2871.21,6.39,65.77,1156.7,62.46,0
49.56,2.05,13.58,224.11,2814.82,6.57,75.71,1010.32,46.51,0
73.31,1.46,20.42,223.22,2837.55,5.71,73.04,373.81,67.4,0
53.31,1.7,16.96,218.0,2901.98,7.41,74.63,861.75,73.44,0
88.55,4.69,21.77,213.1,2592.21,4.61,84.04,1570.57,85.28,1
40.03,0.62,21.73,213.64,2915.83,7.6,69.91,183.77,65.48,0
55.1,1.19,16.19,213.8,2985.13,7.76,70.2,425.31,53.34,0
42.12,1.83,12.23,217.28,2957.54,7.88,71.42,424.69,61.12,0
42.88,2.54,17.85,214.1,2987.72,5.88,67.78,1132.34,54.69,0
87.94,5.44,22.64,212.03,2658.63,6.24,76.53,2137.22,73.94,1
73.59,3.05,20.37,216.1,2940.59,5.86,60.16,23.97,60.53,0
98.23,8.91,30.27,196.92,2153.73,1.56,112.29,2674.08,97.3,2
74.6,4.44,21.08,205.34,2724.25,5.62,79.41,1504.3,80.12,1
63.4,3.09,11.95,222.19,2963.35,7.79,64.78,1084.74,51.22,0
53.53,1.13,17.59,224.64,2827.65,6.65,72.13,649.81,69.52,0
56.37,2.36,14.93,216.41,2832.57,6.91,75.31,241.83,72.71,0
63.06,1.68,17.81,211.6,2914.46,8.0,60.87,1172.61,54.24,0
76.98,5.33,20.17,210.45,2731.33,6.17,87.64,2170.72,71.17,1
60.87,1.32,10.32,221.03,2906.41,6.95,73.35,810.28,47.21,0
80.45,5.36,25.05,201.32,2761.58,5.96,82.55,1984.35,77.27,1
68.21,1.56,17.71,213.68,2777.32,7.49,61.78,325.66,69.93,0
89.02,3.47,20.62,210.48,2642.09,5.36,74.44,1311.49,70.61,1
59.19,1.09,13.81,214.23,2882.71,5.63,62.85,975.23,44.64,0
62.75,0.57,19.72,218.05,2819.55,5.65,62.92,1074.04,64.01,0
63.42,0.88,21.35,211.99,2943.67,6.16,76.8,863.95,66.38,0
48.11,1.04,19.72,212.03,2867.16,7.85,63.34,1173.59,74.8,0
118.45,8.47,33.04,200.63,2451.64,4.42,86.69,3868.8,97.76,2
65.17,3.29,16.33,213.88,2763.21,7.32,62.18,363.33,58.64,0
51.73,2.73,11.93,222.27,2958.03,6.77,60.11,344.45,61.59,0
92.42,3.53,21.59,204.19,2581.85,5.78,75.05,1161.04,81.61,1
49.02,1.85,18.31,221.0,2998.86,6.22,69.69,639.99,54.2,0
93.08,4.36,21.89,210.54,2714.73,6.48,77.71,1806.47,70.94,1
50.43,0.77,20.93,210.09,2870.97,5.81,65.54,1111.27,45.66,0
84.67,5.07,20.56,207.15,2707.52,6.16,84.97,1332.48,86.94,1
49.09,2.78,11.65,218.03,2803.8,5.53,64.34,1171.05,68.05,0
62.16,3.35,17.22,222.29,2971.05,6.07,63.82,733.18,54.39,0
59.96,3.09,15.73,224.92,2919.79,5.69,77.87,489.47,50.06,0
84.83,3.13,23.18,210.12,2719.38,5.25,87.18,1200.83,79.01,1
65.38,2.22,18.01,221.66,2965.55,6.28,69.68,1008.13,74.63,0
63.65,1.69,19.08,216.81,2853.07,7.84,64.52,144.54,60.46,0
44.49,2.24,18.32,220.51,2938.37,7.68,69.0,876.3,61.67,0
51.04,0.82,14.4,211.49,2941.65,7.92,77.46,1038.09,61.03,0
74.9,0.59,20.77,219.34,2993.35,6.66,75.25,74.87,51.73,0
87.4,3.38,25.71,203.37,2605.95,5.57,82.3,1696.1,71.65,1
93.77,4.76,22.09,201.58,2745.46,5.79,74.67,1432.06,87.22,1
44.35,3.13,21.65,212.66,2930.52,5.6,67.3,619.54,60.32,0
74.3,1.68,12.73,212.57,2916.9,7.02,71.58,105.61,71.27,0
76.26,4.67,26.22,206.9,2701.74,4.88,85.27,2160.79,74.83,1
40.43,2.52,10.62,218.23,2821.91,6.27,66.35,745.55,51.69,0
61.88,3.34,16.96,218.1,2762.58,5.66,63.37,38.96,66.02,0
44.84,2.74,15.64,221.74,2936.56,7.01,72.35,22.03,50.91,0
46.69,2.81,13.19,221.51,2801.47,6.3,68.38,1131.84,72.61,0
61.8,1.84,19.34,213.31,2791.14,6.52,76.68,852.51,54.66,0
70.34,3.18,21.04,211.42,2886.03,7.35,73.62,728.06,45.84,0
52.44,2.93,13.54,218.57,2936.35,6.45,65.45,551.22,68.63,0
60.51,2.37,10.86,220.24,2810.48,7.28,74.81,964.75,59.34,0
50.61,1.79,15.65,212.36,2757.77,7.87,64.33,287.94,42.92,0
48.64,3.2,20.93,224.15,2880.06,7.19,74.01,157.22,61.03,0
57.53,3.44,11.17,214.55,2909.56,6.38,76.71,78.75,59.23,0
42.26,2.22,17.46,217.59,2954.28,7.65,71.08,15.31,64.33,0
61.54,0.74,11.05,212.58,2879.52,6.03,65.1,480.38,68.42,0
41.38,1.93,16.52,213.42,2991.01,7.77,73.0,640.06,70.45,0
98.59,5.35,30.08,189.68,2209.78,4.86,103.49,3392.2,91.24,2
72.55,2.14,17.94,223.55,2774.64,6.08,72.76,988.49,70.0,0
63.15,2.28,18.84,218.57,2766.69,5.79,70.74,329.98,42.79,0
68.59,3.38,19.51,219.06,2873.34,5.6,77.72,460.18,45.33,0
56.92,1.65,20.07,212.18,2876.42,5.66,61.28,688.64,59.81,0
118.71,8.89,30.45,194.16,2228.32,4.13,100.39,2802.14,93.94,2
47.3,3.29,11.4,222.26,2845.16,7.69,75.63,967.11,67.65,0
92.5,3.05,24.65,214.45,2690.04,6.37,74.73,1502.55,74.68,1
40.97,1.24,15.52,219.43,2889.31,7.36,65.04,677.94,43.08,0
47.02,1.36,11.94,213.74,2806.22,6.8,70.13,1133.94,46.84,0
96.1,7.83,26.19,197.51,2375.27,2.93,100.64,4241.44,87.94,2
76.75,5.06,23.49,201.16,2564.64,5.17,84.99,1849.22,84.2,1
65.58,3.44,13.08,219.81,2799.52,6.91,68.35,1166.41,61.3,0
57.81,3.08,20.39,210.15,2944.51,6.65,77.8,579.88,74.54,0
62.52,1.09,11.17,212.5,2980.93,7.55,66.37,786.98,58.8,0
64.53,1.36,17.57,216.83,2870.5,7.39,65.07,381.65,72.36,0
48.71,3.33,13.58,221.63,2848.28,5.85,60.19,653.11,74.15,0
67.95,1.38,21.76,219.03,2895.61,7.37,74.61,787.77,44.48,0
67.33,1.08,10.6,223.1,2768.89,6.12,72.52,491.34,70.67,0
65.81,1.56,13.56,215.25,2943.66,7.15,63.33,208.93,43.44,0
86.83,5.06,22.78,202.34,2734.49,5.22,83.4,1324.77,71.46,1
68.42,2.66,18.76,211.5,2929.44,7.2,74.96,49.92,40.81,0
47.75,2.04,16.59,218.07,2891.27,7.87,76.24,1050.86,68.05,0
56.12,1.97,10.27,220.3,2823.5,6.9,65.42,200.56,54.25,0
58.87,3.41,15.81,210.95,2887.92,7.6,77.94,516.41,51.21,0
46.65,1.88,13.44,213.71,2911.31,7.13,74.84,501.25,42.56,0
67.32,1.1,10.96,217.12,2752.49,5.71,74.54,925.77,72.03,0
44.25,1.09,20.64,219.69,2821.48,7.54,75.5,1015.82,72.16,0
102.25,5.35,37.6,202.68,2563.88,4.98,90.22,2990.61,96.37,2
75.78,5.24,21.79,203.31,2584.53,6.22,81.0,1809.87,74.3,1
74.21,3.39,11.96,214.49,2775.04,6.18,74.69,453.98,43.09,0
73.27,5.42,23.18,203.54,2568.37,4.84,81.28,1404.4,84.92,1
52.57,2.28,11.96,215.87,2992.35,6.15,71.82,390.23,67.07,0
53.75,0.59,17.0,210.17,2946.84,6.27,60.72,706.02,53.92,0
73.46,1.1,11.31,222.81,2859.79,7.62,76.08,74.95,70.92,0
64.55,0.53,14.91,214.94,2923.34,7.42,65.47,973.95,50.29,0
68.37,2.57,18.7,220.47,2827.74,5.75,64.9,998.14,74.32,0
71.93,1.13,10.47,221.12,2956.9,7.92,76.02,720.64,58.55,0
44.04,0.82,18.63,222.82,2814.24,5.55,64.02,67.82,43.62,0
59.4,0.52,19.13,210.53,2936.43,6.01,77.25,441.53,51.44,0
59.15,0.76,14.53,216.2,2759.95,6.18,77.2,1144.36,52.33,0
88.72,3.79,20.0,207.67,2561.71,5.05,83.9,1075.23,85.11,1
72.98,3.82,25.71,208.96,2648.41,5.45,85.96,1408.01,85.65,1
48.15,0.66,12.28,210.58,2847.95,7.51,66.14,533.02,63.65,0
52.01,1.73,18.64,217.67,2985.89,5.6,69.06,701.07,72.21,0
53.62,1.44,15.55,215.85,2965.89,7.82,65.46,1036.72,67.35,0
92.69,3.31,23.74,213.19,2652.51,5.46,74.99,1333.77,75.84,1
58.21,0.93,19.3,214.07,2874.17,6.21,62.41,755.47,41.9,0
84.11,4.66,24.75,213.98,2799.24,5.94,78.02,2055.7,70.89,1
59.97,3.34,15.32,218.99,2869.08,7.83,61.37,601.34,64.04,0
73.73,2.12,13.45,211.8,2925.88,7.11,66.73,1141.13,40.78,0
56.93,2.0,13.86,211.98,2844.1,7.18,74.08,636.9,60.64,0
82.96,4.15,22.2,208.71,2732.47,5.32,82.81,1839.18,82.8,1
89.98,3.84,25.12,206.3,2694.59,6.17,85.26,2039.71,71.07,1
62.88,2.82,19.77,217.4,2801.34,7.34,72.59,295.52,71.62,0
74.91,4.53,20.61,205.87,2728.33,5.82,82.75,1339.05,76.8,1
40.29,1.15,17.94,217.26,2751.33,7.51,73.91,658.1,42.33,0
43.27,0.55,20.48,213.55,2802.88,7.34,65.76,607.25,45.69,0
49.09,3.16,20.75,214.46,2807.5,6.53,64.33,806.86,68.91,0
42.66,3.05,15.94,217.21,2898.1,7.56,66.26,813.62,59.8,0
115.49,7.07,33.72,201.11,2573.38,2.9,108.5,2664.82,99.85,2
80.3,4.82,23.16,212.85,2786.02,5.17,81.85,1114.07,73.61,1
50.15,3.11,18.07,221.95,2812.62,7.06,70.29,999.4,71.71,0
40.13,1.24,18.89,214.74,2775.47,6.4,64.87,1011.25,50.97,0
52.87,2.27,16.05,219.69,2993.22,5.64,70.33,1035.63,56.85,0
66.24,0.89,19.1,210.37,2755.53,6.31,68.8,924.49,63.92,0
43.78,1.94,17.03,218.12,2771.51,5.64,61.9,702.71,59.05,0
72.5,2.24,18.0,223.67,2836.41,7.05,60.7,224.13,69.09,0
43.54,2.33,12.36,213.77,2793.39,7.89,75.38,276.59,51.46,0
50.29,1.13,19.18,213.8,2966.39,5.76,62.27,1174.98,63.58,0
68.84,1.11,15.63,222.01,2795.04,5.77,75.91,411.52,63.94,0
90.27,4.0,26.63,206.1,2742.96,5.47,86.57,2089.31,71.57,1
59.45,1.01,13.79,216.37,2827.33,6.2,77.5,184.04,65.67,0
72.38,4.07,20.2,207.21,2715.61,4.74,78.04,1477.4,86.55,1
52.1,2.92,12.96,210.95,2782.93,7.65,71.41,303.84,59.44,0
51.84,3.28,12.7,215.58,2858.02,6.6,71.03,1131.69,48.42,0
69.97,0.8,11.09,213.94,2968.69,5.82,72.96,121.4,61.81,0
58.65,1.47,14.0,220.04,2998.53,7.15,70.04,876.78,56.28,0
72.23,2.24,16.4,218.95,2841.51,7.52,69.42,140.1,44.52,0
49.58,1.96,10.99,216.89,2826.62,7.56,61.03,502.33,56.05,0
58.54,1.54,16.25,219.83,2854.59,7.29,75.5,185.62,55.8,0
73.8,1.12,18.9,218.2,2971.12,6.88,69.62,234.55,45.82,0
67.61,1.84,19.58,222.34,2964.39,7.79,67.76,382.64,60.38,0
50.66,0.74,14.84,212.6,2923.74,6.37,77.56,769.17,68.79,0
52.85,2.13,11.78,221.19,2752.09,5.92,70.45,857.27,72.08,0
96.88,6.27,25.54,191.44,2379.87,4.5,105.01,3088.49,99.3,2
40.35,1.89,21.56,217.79,2919.39,6.28,73.93,927.51,58.25,0
93.23,3.85,23.69,203.17,2798.91,6.46,83.09,1965.3,82.87,1
65.65,2.32,18.07,211.22,2987.87,7.6,74.49,987.58,72.64,0
40.32,2.44,16.13,216.68,2991.74,6.93,75.54,167.34,59.92,0
73.1,3.05,18.03,216.93,2852.94,7.13,69.82,74.73,57.94,0
74.66,3.25,22.54,207.52,2560.85,5.2,76.51,1776.48,78.36,1
81.23,4.15,20.54,210.06,2755.31,4.99,79.9,2006.61,85.79,1
77.73,3.29,26.9,204.63,2582.58,4.9,82.23,1076.85,85.52,1
41.03,2.35,16.11,218.19,2839.86,5.7,63.48,1140.89,54.3,0
87.98,5.23,20.56,210.97,2596.85,6.22,85.47,1648.95,82.78,1
91.5,4.81,20.47,210.62,2685.88,4.66,80.42,1581.64,72.98,1
83.74,4.04,26.14,203.06,2756.62,5.62,74.76,2166.21,79.23,1
70.41,2.49,15.21,222.29,2976.4,5.8,69.57,341.41,41.65,0
40.64,1.09,10.09,219.71,2974.51,6.11,76.69,72.32,72.71,0
44.45,1.7,12.04,213.82,2815.81,6.89,67.41,1137.28,44.42,0
67.72,2.25,20.91,224.13,2766.08,6.51,60.42,395.3,58.79,0
72.76,2.52,15.78,222.15,2987.63,5.56,77.69,103.36,68.5,0
40.78,1.58,19.4,218.49,2828.19,7.14,64.18,17.26,66.75,0
58.59,3.31,10.47,211.83,2863.05,7.83,65.69,608.68,41.46,0
44.71,0.78,19.98,223.78,2912.45,5.76,67.24,874.73,67.29,0
50.17,1.91,20.68,220.62,2765.55,5.87,60.14,757.11,55.67,0
51.38,1.91,19.82,211.87,2964.41,7.74,77.04,476.99,47.6,0
40.01,2.29,20.99,214.32,2796.38,7.13,72.83,825.64,51.18,0
57.97,2.45,20.68,216.61,2975.29,7.38,68.79,723.87,51.4,0
49.43,1.07,18.34,213.28,2898.83,6.16,71.92,977.93,67.23,0
61.01,2.69,19.24,224.63,2893.39,6.35,71.67,82.13,71.41,0
96.39,8.44,33.29,196.13,2469.15,2.67,107.95,3081.92,92.26,2
63.17,2.75,19.05,218.67,2976.09,7.54,73.63,66.73,40.24,0
69.64,1.47,18.12,218.91,2900.79,7.21,70.36,514.87,49.66,0
54.94,2.16,12.77,221.15,2883.0,7.52,74.05,258.01,65.05,0
42.49,0.74,14.26,224.13,2917.14,7.2,66.51,712.39,40.35,0
55.41,2.35,11.0,223.24,2950.9,6.76,77.41,501.31,74.44,0
69.16,1.25,17.31,218.78,2842.43,6.72,65.65,170.21,47.48,0
107.4,8.71,36.3,196.41,2115.19,4.76,105.69,3691.28,88.24,2
68.44,1.48,13.67,216.04,2918.13,7.21,65.67,159.85,62.13,0
66.66,0.67,21.98,221.29,2965.98,7.13,75.41,134.86,52.17,0
62.19,0.71,13.05,215.43,2868.12,5.61,62.52,332.18,74.0,0
63.27,1.76,18.41,216.16,2876.16,5.52,72.45,793.61,41.34,0
47.24,2.01,13.75,216.41,2911.3,7.36,64.18,486.39,49.42,0
46.01,2.92,18.31,218.34,2924.88,6.53,62.49,798.92,58.36,0
57.58,2.69,21.5,213.31,2971.55,7.84,76.5,762.5,62.04,0
74.34,2.4,13.12,219.51,2885.0,7.45,61.93,913.23,58.94,0
74.16,3.12,13.95,218.82,2961.82,6.6,60.32,89.41,57.86,0
57.49,1.42,21.68,219.95,2852.06,6.2,73.16,290.62,46.01,0
42.44,2.27,16.25,221.13,2877.43,6.56,67.17,31.74,51.74,0
69.0,2.99,18.51,211.58,2959.71,7.18,72.55,435.58,70.77,0
55.12,2.89,17.14,223.3,2852.74,7.01,71.34,500.86,45.05,0
70.86,3.33,18.87,211.3,2917.29,6.53,68.47,58.98,46.69,0
70.39,2.68,18.91,216.38,2836.48,6.43,77.78,48.13,70.35,0
62.42,3.44,17.24,215.37,2911.95,5.81,76.0,603.7,55.73,0
90.95,5.15,25.24,206.59,2702.64,4.82,83.43,1215.1,82.49,1
64.32,1.82,21.34,212.12,2910.71,6.45,77.22,395.97,73.68,0
66.84,1.55,14.52,218.0,2750.06,6.1,63.75,300.58,68.21,0
51.97,3.27,10.29,218.72,2887.23,6.05,67.72,782.72,65.45,0
47.7,1.67,20.39,220.87,2850.95,6.04,66.41,340.92,46.16,0
102.99,8.61,34.17,198.77,2287.28,2.08,97.92,2356.49,98.35,2
70.09,1.72,13.94,216.81,2940.61,5.82,63.54,1141.73,46.14,0
66.67,2.02,21.86,216.98,2764.56,6.16,67.85,188.28,73.16,0
43.98,0.51,21.99,222.03,2946.68,6.77,65.4,181.52,49.96,0
50.91,1.42,20.05,211.09,2970.28,6.14,70.67,1123.19,63.73,0
63.8,2.36,19.03,212.38,2970.22,7.68,60.53,990.98,44.51,0
77.86,4.18,25.75,206.89,2639.45,5.49,85.6,1402.25,73.13,1
58.91,3.03,15.18,215.69,2978.77,6.13,75.2,580.82,57.99,0
42.33,2.44,10.89,215.63,2950.95,6.58,77.95,670.87,51.24,0
47.54,1.38,12.07,215.69,2977.71,7.04,67.42,1121.29,41.7,0
73.18,0.71,16.09,214.93,2877.08,5.56,65.63,983.84,59.39,0
67.06,2.05,14.18,215.58,2750.34,6.25,71.64,1169.03,69.65,0
78.74,3.29,21.06,203.38,2612.74,6.2,81.86,1628.07,72.07,1
57.32,0.76,16.71,217.54,2786.11,6.61,66.01,626.2,60.5,0
71.73,1.07,17.39,216.09,2760.27,6.37,64.77,823.31,73.21,0
67.61,3.18,15.21,223.65,2844.33,7.91,61.61,824.42,57.28,0
73.72,0.53,18.59,220.59,2905.67,7.98,65.61,407.97,42.76,0
54.47,1.12,20.52,212.37,2863.92,7.01,72.45,459.68,70.42,0
46.15,2.29,15.09,216.7,2813.54,7.56,68.73,652.09,50.67,0
51.44,2.32,21.17,222.55,2998.87,5.56,62.03,731.36,68.72,0
41.82,3.08,15.5,213.94,2810.44,6.71,75.96,454.02,66.24,0
68.99,1.26,19.33,224.36,2924.2,6.99,68.29,437.29,52.36,0
78.81,3.32,20.91,210.14,2764.65,6.43,82.8,1220.92,71.9,1
42.75,2.18,13.98,212.32,2962.26,6.8,76.8,967.22,64.25,0
56.61,3.03,19.67,218.78,2967.07,6.01,62.01,323.7,42.0,0
54.28,0.84,18.11,220.53,2930.22,7.32,60.0,1144.7,68.5,0
40.96,2.02,21.57,215.76,2759.75,5.58,66.98,192.03,40.82,0
70.81,1.8,14.95,210.53,2874.49,6.89,70.06,848.44,46.21,0
66.91,2.48,19.19,222.69,2903.4,5.72,68.78,93.18,54.26,0
49.35,3.14,19.57,219.88,2962.65,7.67,72.75,1004.42,64.41,0
65.04,1.3,13.79,211.88,2913.88,5.6,70.76,1043.64,71.18,0
57.11,2.5,11.68,210.45,2826.98,7.26,63.63,808.12,73.95,0
85.95,3.02,20.23,212.78,2721.01,5.03,83.63,1950.95,75.52,1
63.93,0.56,18.83,217.31,2953.3,7.89,76.66,1091.12,57.93,0
42.0,2.26,20.08,210.26,2762.25,6.93,74.75,392.09,52.24,0
57.37,2.97,14.83,211.54,2765.38,5.63,66.84,404.69,65.13,0
49.89,1.34,14.86,224.98,2763.74,6.95,61.49,185.42,55.38,0
56.96,1.41,16.76,222.06,2784.29,6.95,69.1,172.89,61.84,0
71.98,1.6,14.48,215.75,2959.16,7.13,71.06,400.97,68.63,0
57.28,0.53,11.68,214.83,2894.65,5.69,76.98,438.1,71.94,0
53.09,3.33,17.7,220.07,2908.07,6.0,67.53,901.13,43.55,0
62.81,1.61,20.37,217.1,2992.05,5.96,75.64,931.92,66.98,0
46.32,1.72,14.27,221.87,2877.55,5.82,73.3,476.27,49.2,0
81.12,4.22,22.46,213.64,2692.24,6.02,85.37,1410.22,77.81,1
60.54,3.0,10.87,220.36,2883.51,6.45,66.12,745.0,71.18,0
80.04,3.85,20.89,205.88,2590.67,5.97,76.92,1070.28,79.94,1
43.22,2.3,17.48,219.73,2816.85,5.54,77.37,301.07,63.66,0
74.87,3.42,17.8,212.99,2920.06,5.68,60.55,309.22,56.19,0
55.77,1.36,13.58,215.75,2958.89,7.92,67.9,472.02,69.63,0
42.8,1.83,11.96,212.77,2800.57,6.47,60.92,477.35,57.91,0
106.6,6.01,29.61,193.0,2128.7,3.54,111.53,2379.36,93.97,2
68.0,1.54,12.07,210.04,2862.73,6.38,69.99,225.65,70.09,0
46.89,1.74,12.73,218.76,2842.87,6.62,69.67,244.24,45.45,0
41.74,1.31,17.85,218.0,2986.01,6.49,72.49,587.19,57.94,0
49.6,1.68,14.65,214.3,2817.14,7.65,61.26,813.13,46.05,0
60.24,0.94,19.73,219.54,2847.04,7.19,64.68,414.23,72.11,0
51.05,0.76,12.68,212.82,2857.0,7.15,64.75,14.48,58.16,0
74.08,1.19,19.27,215.08,2785.77,7.64,65.56,790.63,59.83,0
72.04,4.09,22.05,208.18,2583.35,5.88,85.13,1196.03,71.88,1
56.18,2.64,18.83,212.07,2991.54,7.55,63.68,223.4,44.4,0
47.7,1.35,15.32,212.57,2968.31,7.26,61.53,780.11,62.88,0
44.32,1.7,14.21,221.59,2950.79,5.88,66.6,448.02,45.3,0
49.02,1.18,15.77,217.48,2803.77,6.18,63.05,862.15,66.95,0
57.11,1.71,21.93,223.2,2905.85,6.92,71.17,241.57,53.83,0
41.12,0.73,13.29,213.0,2807.96,7.49,70.14,6.92,55.03,0
52.01,2.69,17.83,222.68,2923.12,6.57,72.11,330.46,50.72,0
45.52,1.02,19.13,210.24,2889.45,6.45,69.12,675.4,50.97,0
63.7,3.12,18.99,224.08,2763.47,5.53,71.9,347.22,48.87,0
40.03,3.31,11.97,213.5,2815.87,5.59,62.21,1183.62,51.03,0
49.88,1.29,12.96,223.59,2812.39,6.18,73.67,539.69,67.18,0
99.72,6.66,30.62,204.61,2133.75,3.32,90.38,4426.69,86.7,2
57.67,1.03,19.75,218.13,2782.77,7.42,76.78,1136.77,52.92,0
56.83,2.43,10.78,218.7,2890.37,6.9,70.86,811.76,68.17,0
51.56,0.82,21.44,210.9,2824.41,6.25,65.77,197.14,67.41,0
54.12,1.2,19.83,215.06,2956.88,5.5,65.54,289.4,48.17,0
45.54,2.56,11.54,216.38,2811.8,7.37,64.72,1058.06,71.21,0
60.68,2.46,13.07,215.47,2960.92,5.99,74.88,675.19,66.68,0
57.43,3.03,19.62,216.16,2807.52,6.52,74.87,273.16,58.36,0
47.18,1.96,20.54,217.91,2982.47,6.71,68.83,143.7,68.09,0
58.18,1.11,20.53,223.19,2967.64,6.1,68.12,1181.99,67.02,0
89.06,4.99,23.05,212.27,2580.05,5.59,74.08,1389.5,76.6,1
44.97,0.54,15.06,214.43,2871.5,6.94,60.79,147.6,59.55,0
82.51,4.61,23.57,201.8,2628.02,6.1,86.06,1164.76,87.14,1
56.23,0.77,17.31,214.32,2790.08,6.86,69.58,91.05,64.44,0
60.36,1.81,16.96,217.75,2939.69,6.21,66.35,1072.91,73.13,0
47.36,2.2,17.39,210.59,2850.76,7.12,72.57,765.77,51.22,0
116.7,8.08,33.72,201.95,2104.77,2.91,112.22,3850.78,93.14,2
44.77,1.09,10.66,212.97,2752.3,7.07,65.69,1167.77,46.78,0
41.47,0.55,21.85,216.42,2846.08,7.2,63.93,1139.95,67.52,0
70.55,5.04,20.1,209.86,2641.27,5.72,83.74,1410.97,71.94,1
74.16,1.51,12.19,221.85,2914.68,6.75,70.0,863.04,48.0,0
72.22,0.54,16.63,221.11,2871.25,5.71,77.5,621.61,61.5,0
62.19,0.72,20.91,224.37,2769.43,6.83,65.46,471.41,46.29,0
56.98,1.5,19.5,216.77,2795.86,7.64,75.89,559.57,42.65,0
43.23,0.99,17.14,212.26,2992.02,6.62,69.03,295.99,56.48,0
42.53,3.36,12.68,223.83,2856.47,7.96,69.97,1117.0,40.19,0
68.06,1.9,14.34,211.63,2968.98,7.46,63.03,614.71,57.06,0
58.79,3.31,13.7,223.04,2941.02,6.12,60.65,122.22,65.5,0
58.27,0.72,12.3,222.6,2931.23,7.74,62.12,1188.27,47.33,0
86.47,3.68,26.1,207.27,2626.39,5.54,79.35,1677.16,72.06,1
68.76,2.48,19.55,214.08,2923.09,6.16,76.9,763.65,51.36,0
61.13,1.4,14.93,213.27,2991.51,5.83,66.69,31.01,47.76,0
43.91,2.32,13.37,212.6,2844.94,7.5,67.06,900.92,44.39,0
72.03,3.03,18.91,212.52,2780.09,5.67,73.03,1114.57,55.07,0
85.9,5.28,24.29,213.11,2730.99,4.74,86.63,1079.73,79.61,1
60.51,3.43,16.39,223.58,2770.76,5.98,67.93,701.71,68.57,0
49.82,0.98,11.97,214.28,2948.21,7.76,77.55,278.75,70.85,0
58.39,2.67,15.23,219.45,2835.14,6.25,70.41,597.76,60.28,0
45.13,0.98,19.48,219.24,2761.22,7.06,65.56,442.47,66.94,0
55.04,2.16,13.94,220.81,2910.94,6.33,73.59,778.43,62.31,0
120.38,8.5,34.33,192.44,2146.22,3.1,96.83,4167.65,88.66,2
50.83,2.97,21.46,222.32,2750.39,7.09,60.92,309.13,42.08,0
